combo_id,status,error_type,error_msg,traceback_short,duration_s,cagr,total_return,max_drawdown,sharpe_ratio,volatility,num_trades,calmar_ratio,closed_trades_count,wins_count,losses_count,win_rate,gross_pnl,avg_win,avg_loss,atr_stop_count,hard_stop_trigger_count,pct_time_hard_stop,missing_risk_events,score,is_active,rejection_no_signal,rejection_blocked_risk,rejection_size_zero,rejection_price_missing,rejection_other,kelly.cap_factor,max_drawdown.hard_limit_pct,max_drawdown.size_multiplier_soft,max_drawdown.soft_limit_pct,stop_loss.atr_multiplier,stop_loss.min_stop_pct
c648aadd02dc,ok,,,,0.09,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.3,0.1,0.5,0.05,2.0,0.02
2a7b39f06e64,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.5,0.1,0.5,0.05,2.0,0.02
ffae19fec604,ok,,,,0.01,0.14256043935313234,0.14256043935313234,-0.09925819605695263,1.0701731221533393,0.1333210302668017,4,1.4362586165814824,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.9925660477444767,True,0,0,0,0,0,0.7,0.1,0.5,0.05,2.0,0.02
96764a80cf0c,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.3,0.1,0.7,0.05,2.0,0.02
c7a8cf081f41,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.5,0.1,0.7,0.05,2.0,0.02
fa94dabfc7d9,ok,,,,0.01,0.14256043935313234,0.14256043935313234,-0.09925819605695263,1.0701731221533393,0.1333210302668017,4,1.4362586165814824,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.9925660477444767,True,0,0,0,0,0,0.7,0.1,0.7,0.05,2.0,0.02
a4e7cc151807,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.3,0.1,1.0,0.05,2.0,0.02
e1d02956d405,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.5,0.1,1.0,0.05,2.0,0.02
abd891f17a53,ok,,,,0.01,0.14256043935313234,0.14256043935313234,-0.09925819605695263,1.0701731221533393,0.1333210302668017,4,1.4362586165814824,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.9925660477444767,True,0,0,0,0,0,0.7,0.1,1.0,0.05,2.0,0.02
2085bdf81368,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.3,0.15,0.5,0.05,2.0,0.02
370b03ff2333,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.5,0.15,0.5,0.05,2.0,0.02
9daf5a15114e,ok,,,,0.01,0.14256043935313234,0.14256043935313234,-0.09925819605695263,1.0701731221533393,0.1333210302668017,4,1.4362586165814824,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.9925660477444767,True,0,0,0,0,0,0.7,0.15,0.5,0.05,2.0,0.02
cbfa90914978,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.3,0.15,0.7,0.05,2.0,0.02
baa19893d67a,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.5,0.15,0.7,0.05,2.0,0.02
7a63e2010a20,ok,,,,0.01,0.14256043935313234,0.14256043935313234,-0.09925819605695263,1.0701731221533393,0.1333210302668017,4,1.4362586165814824,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.9925660477444767,True,0,0,0,0,0,0.7,0.15,0.7,0.05,2.0,0.02
9409213516bb,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.3,0.15,1.0,0.05,2.0,0.02
57fbef400acf,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.5,0.15,1.0,0.05,2.0,0.02
dc3c983f74bc,ok,,,,0.01,0.14256043935313234,0.14256043935313234,-0.09925819605695263,1.0701731221533393,0.1333210302668017,4,1.4362586165814824,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.9925660477444767,True,0,0,0,0,0,0.7,0.15,1.0,0.05,2.0,0.02
a59d81de4d61,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.3,0.1,0.5,0.08,2.0,0.02
71830c57acad,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.5,0.1,0.5,0.08,2.0,0.02
c2d7b03329c4,ok,,,,0.01,0.14256043935313234,0.14256043935313234,-0.09925819605695263,1.0701731221533393,0.1333210302668017,4,1.4362586165814824,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.9925660477444767,True,0,0,0,0,0,0.7,0.1,0.5,0.08,2.0,0.02
0fa76f9e0eb0,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.3,0.1,0.7,0.08,2.0,0.02
1ae7fa5b3a41,ok,,,,0.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.0,False,0,0,0,0,1,0.5,0.1,0.7,0.08,2.0,0.02
59aac2ce9c2d,ok,,,,0.01,0.14256043935313234,0.14256043935313234,-0.09925819605695263,1.0701731221533393,0.1333210302668017,4,1.4362586165814824,0,0,0,0.0,0,0.0,0.0,0,0,0.0,False,0.9925660477444767,True,0,0,0,0,0,0.7,0.1,0.7,0.08,2.0,0.02
